Epsilon,Adv_Laplace_Acc,Adv_Laplace_Final_Eps,Gaussian_Acc,Gaussian_Final_Eps,Noise_Multiplier,Accuracy_Gap
1,0.08920224756002426,0.9999991092488157,0.7427711486816406,0.9912683619586808,2.0024,0.6535689011216164
3,0.24193932116031647,3.0000000909072817,0.7707359790802002,2.9986007049723913,0.9811,0.5287966579198837
5,0.325992226600647,5.000000700101561,0.7731918096542358,4.992278986292696,0.7936,0.44719958305358887
10,0.4115503430366516,9.999999694844197,0.7807969450950623,9.977822588188989,0.6255,0.36924660205841064
